S. No.,Make,Model,Variant,Year,FUEL TYPE,Basic Service
1,Audi,A3,TDI ,2014-2017,DIESEL,"16,000"
2,Audi,A3,TFSI,2014-2017,PETROL,"16,000"
3,Audi,A3,TDI ,2016-2020,DIESEL,"16,000"
4,Audi,A3,A3,2016-2020,PETROL,"16,000"
5,Audi,A3,Cabriolet TFSI,2017-2020,PETROL,"16,000"
6,Audi,A4,2.0 TDI ,2008-2012,DIESEL,"17,500"
7,Audi,A4,2.0 TFSI,2008-2012,PETROL,"17,500"
8,Audi,A4,3.0 TDI quattro,2008-2012,DIESEL,"19,000"
9,Audi,A4,3.2 FSI quattro,2008-2012,PETROL,"19,000"
10,Audi,A4,TDI ,2013-2016,DIESEL,"17,500"
11,Audi,A4,TFSI ,2013-2016,PETROL,"17,500"
